Clusters	407	408	410	411	409 412 413 414 415 416 419 418 422 420 421
1			4	22	18	7	4	13	19	2	5	5	120	37	35	16	17
4			5	64	20	44	103	75	47	40	55	10	56	108	47	25	100
7			5	62	80	58	23	29	184	22	33	31	78	30	8	26	27
10			13	45	44	15	52	45	238	87	14	28	71	17	43	18	18
13			13	166	42	16	7	12	257	34	28	24	155	6	7	55	53
16			13	132	30	80	21	82	137	52	53	26	117	24	42	129	60
19			14	27	21	19	39	37	191	31	9	14	46	11	25	23	27
22			18	149	42	34	98	59	383	53	145	71	160	107	63	95	106
25			30	48	3	51	20	12	8	100	3	27	73	33	45	40	34
28			9	105	45	43	30	8	57	47	12	8	46	28	15	10	100
31			12.40	82.00	34.50	36.70	39.70	37.20	152.10	46.80	35.70	24.40	92.20	40.10	33.00	43.70 54.20

5			25	22	326	142	61	163	139	248	69	122	53	109	70	73	57
8			24	9	17	66	72	273	45	207	80	28	48	93	48	247	26
11			8	10	230	10	107	355	39	61	52	10	13	11	47	2	42
14			66	10	218	290	87	325	130	64	151	169	75	66	124	71	78
17			13	22	41	251	37	53	164	314	34	64	57	20	196	57	115
20			11	8	37	50	121	76	30	33	78	44	39	50	19	27	17
23			49	22	29	106	143	79	78	157	150	155	88	54	34	19	43
26			23	18	118	26	111	91	255	76	14	45	197	16	12	2	88
29			79	33	56	204	51	508	59	41	119	51	79	187	108	15	47
32			33.11	17.11	119.11	127.22	87.78	213.67	104.33	133.44	83	76.44	72.11	67.33	73.11	57	57
