_id;agrupamento;fonte;id_estudante;id_fonte;id_questionario;método;nota;tipo
631fb92d9374706f60c28f93;1;null;3;Quadrante 1;1;casos;10;binaria
631fb92d9374706f60c28f94;2;null;3;Quadrante 2;1;casos;10;binaria
631fb92d9374706f60c28f95;3;null;3;Quadrante 3;1;casos;10;binaria
631fb92d9374706f60c28f96;4;null;3;Quadrante 4;1;casos;10;binaria
631fb92d9374706f60c28f97;True;3;3;Média;1;casos;10;binaria
631fb92d9374706f60c28f98;1;null;5;Quadrante 1;1;casos;10;binaria
631fb92e9374706f60c28f99;2;null;5;Quadrante 2;1;casos;10;binaria
631fb92e9374706f60c28f9a;3;null;5;Quadrante 3;1;casos;10;binaria
631fb92e9374706f60c28f9b;4;null;5;Quadrante 4;1;casos;0;binaria
631fb92e9374706f60c28f9c;True;3;5;Média;1;casos;7,5;binaria
631fb92e9374706f60c28f9d;1;null;4;Quadrante 1;1;casos;10;binaria
631fb92e9374706f60c28f9e;2;null;4;Quadrante 2;1;casos;10;binaria
631fb92e9374706f60c28f9f;3;null;4;Quadrante 3;1;casos;10;binaria
631fb92e9374706f60c28fa0;4;null;4;Quadrante 4;1;casos;10;binaria
631fb92e9374706f60c28fa1;True;3;4;Média;1;casos;10;binaria
631fb92f9374706f60c28fa2;1;null;6;Quadrante 1;1;casos;10;binaria
631fb92f9374706f60c28fa3;2;null;6;Quadrante 2;1;casos;10;binaria
631fb92f9374706f60c28fa4;3;null;6;Quadrante 3;1;casos;10;binaria
631fb92f9374706f60c28fa5;4;null;6;Quadrante 4;1;casos;10;binaria
631fb92f9374706f60c28fa6;True;3;6;Média;1;casos;10;binaria
631fb92f9374706f60c28fa7;1;null;7;Quadrante 1;1;casos;10;binaria
631fb9309374706f60c28fa8;2;null;7;Quadrante 2;1;casos;10;binaria
631fb9309374706f60c28fa9;3;null;7;Quadrante 3;1;casos;10;binaria
631fb9309374706f60c28faa;4;null;7;Quadrante 4;1;casos;0;binaria
631fb9309374706f60c28fab;True;3;7;Média;1;casos;7,5;binaria
631fb9309374706f60c28fac;1;null;9;Quadrante 1;1;casos;10;binaria
631fb9309374706f60c28fad;2;null;9;Quadrante 2;1;casos;10;binaria
631fb9309374706f60c28fae;3;null;9;Quadrante 3;1;casos;10;binaria
631fb9309374706f60c28faf;4;null;9;Quadrante 4;1;casos;10;binaria
631fb9309374706f60c28fb0;True;3;9;Média;1;casos;10;binaria
631fb9319374706f60c28fb1;1;null;10;Quadrante 1;1;casos;0;binaria
631fb9319374706f60c28fb2;2;null;10;Quadrante 2;1;casos;10;binaria
631fb9319374706f60c28fb3;3;null;10;Quadrante 3;1;casos;10;binaria
631fb9319374706f60c28fb4;4;null;10;Quadrante 4;1;casos;0;binaria
631fb9319374706f60c28fb5;True;3;10;Média;1;casos;5;binaria
631fb9319374706f60c28fb6;1;null;11;Quadrante 1;1;casos;0;binaria
631fb9319374706f60c28fb7;2;null;11;Quadrante 2;1;casos;0;binaria
631fb9319374706f60c28fb8;3;null;11;Quadrante 3;1;casos;0;binaria
631fb9329374706f60c28fb9;4;null;11;Quadrante 4;1;casos;0;binaria
631fb9329374706f60c28fba;True;3;11;Média;1;casos;0;binaria
631fb9329374706f60c28fbb;1;null;12;Quadrante 1;1;casos;10;binaria
631fb9329374706f60c28fbc;2;null;12;Quadrante 2;1;casos;10;binaria
631fb9329374706f60c28fbd;3;null;12;Quadrante 3;1;casos;10;binaria
631fb9329374706f60c28fbe;4;null;12;Quadrante 4;1;casos;10;binaria
631fb9329374706f60c28fbf;True;3;12;Média;1;casos;10;binaria
631fb9329374706f60c28fc0;1;null;13;Quadrante 1;1;casos;10;binaria
631fb9339374706f60c28fc1;2;null;13;Quadrante 2;1;casos;10;binaria
631fb9339374706f60c28fc2;3;null;13;Quadrante 3;1;casos;10;binaria
631fb9339374706f60c28fc3;4;null;13;Quadrante 4;1;casos;0;binaria
631fb9339374706f60c28fc4;True;3;13;Média;1;casos;7,5;binaria
631fb9339374706f60c28fc5;1;null;14;Quadrante 1;1;casos;10;binaria
631fb9339374706f60c28fc6;2;null;14;Quadrante 2;1;casos;10;binaria
631fb9339374706f60c28fc7;3;null;14;Quadrante 3;1;casos;10;binaria
631fb9339374706f60c28fc8;4;null;14;Quadrante 4;1;casos;10;binaria
631fb9339374706f60c28fc9;True;3;14;Média;1;casos;10;binaria
631fb9349374706f60c28fca;1;null;16;Quadrante 1;1;casos;10;binaria
631fb9349374706f60c28fcb;2;null;16;Quadrante 2;1;casos;10;binaria
631fb9349374706f60c28fcc;3;null;16;Quadrante 3;1;casos;10;binaria
631fb9349374706f60c28fcd;4;null;16;Quadrante 4;1;casos;0;binaria
631fb9349374706f60c28fce;True;3;16;Média;1;casos;7,5;binaria
631fb9349374706f60c28fcf;1;null;17;Quadrante 1;1;casos;10;binaria
631fb9349374706f60c28fd0;2;null;17;Quadrante 2;1;casos;10;binaria
631fb9349374706f60c28fd1;3;null;17;Quadrante 3;1;casos;10;binaria
631fb9359374706f60c28fd2;4;null;17;Quadrante 4;1;casos;10;binaria
631fb9359374706f60c28fd3;True;3;17;Média;1;casos;10;binaria
631fb9359374706f60c28fd4;1;null;18;Quadrante 1;1;casos;10;binaria
631fb9359374706f60c28fd5;2;null;18;Quadrante 2;1;casos;10;binaria
631fb9359374706f60c28fd6;3;null;18;Quadrante 3;1;casos;10;binaria
631fb9359374706f60c28fd7;4;null;18;Quadrante 4;1;casos;0;binaria
631fb9359374706f60c28fd8;True;3;18;Média;1;casos;7,5;binaria
631fb9369374706f60c28fd9;1;null;19;Quadrante 1;1;casos;10;binaria
631fb9369374706f60c28fda;2;null;19;Quadrante 2;1;casos;10;binaria
631fb9369374706f60c28fdb;3;null;19;Quadrante 3;1;casos;10;binaria
631fb9369374706f60c28fdc;4;null;19;Quadrante 4;1;casos;10;binaria
631fb9369374706f60c28fdd;True;3;19;Média;1;casos;10;binaria
631fb9369374706f60c28fde;1;null;20;Quadrante 1;1;casos;10;binaria
631fb9369374706f60c28fdf;2;null;20;Quadrante 2;1;casos;10;binaria
631fb9369374706f60c28fe0;3;null;20;Quadrante 3;1;casos;10;binaria
631fb9369374706f60c28fe1;4;null;20;Quadrante 4;1;casos;10;binaria
631fb9379374706f60c28fe2;True;3;20;Média;1;casos;10;binaria
631fb9379374706f60c28fe3;1;null;21;Quadrante 1;1;casos;10;binaria
631fb9379374706f60c28fe4;2;null;21;Quadrante 2;1;casos;10;binaria
631fb9379374706f60c28fe5;3;null;21;Quadrante 3;1;casos;10;binaria
631fb9379374706f60c28fe6;4;null;21;Quadrante 4;1;casos;10;binaria
631fb9379374706f60c28fe7;True;3;21;Média;1;casos;10;binaria
631fb9389374706f60c28fe8;1;null;22;Quadrante 1;1;casos;10;binaria
