_id;agrupamento;fonte;id_estudante;id_fonte;id_questionario;método;nota
639568920dedcfcbae15a87e;False;1;3;EF1;2;entradas;2,6666666666666665
639568920dedcfcbae15a87f;False;2;3;EV1;2;entradas;3,333333333333333
639568920dedcfcbae15a880;False;2;3;EV2;2;entradas;2,7777777777777777
639568920dedcfcbae15a881;False;3;3;Média;2;entradas;2,925925925925926
639568950dedcfcbae15a886;False;1;5;EF1;2;entradas;6,542824074074074
639568950dedcfcbae15a887;False;2;5;EV1;2;entradas;10
639568950dedcfcbae15a888;False;2;5;EV2;2;entradas;9,212962962962964
639568960dedcfcbae15a889;False;3;5;Média;2;entradas;8,585262345679013
639568990dedcfcbae15a88e;False;1;4;EF1;2;entradas;6,269069664902998
639568990dedcfcbae15a88f;False;2;4;EV1;2;entradas;9,930555555555555
639568990dedcfcbae15a890;False;2;4;EV2;2;entradas;8,824786324786324
639568990dedcfcbae15a891;False;3;4;Média;2;entradas;8,341470515081626
6395689b0dedcfcbae15a896;False;1;6;EF1;2;entradas;6,581018518518519
6395689b0dedcfcbae15a897;False;2;6;EV1;2;entradas;9,421296296296298
6395689b0dedcfcbae15a898;False;2;6;EV2;2;entradas;9,23611111111111
6395689b0dedcfcbae15a899;False;3;6;Média;2;entradas;8,412808641975309
6395689e0dedcfcbae15a89e;False;1;7;EF1;2;entradas;7,650462962962963
6395689e0dedcfcbae15a89f;False;2;7;EV1;2;entradas;9,722222222222221
6395689e0dedcfcbae15a8a0;False;2;7;EV2;2;entradas;9,560185185185187
6395689e0dedcfcbae15a8a1;False;3;7;Média;2;entradas;8,977623456790123
639568a00dedcfcbae15a8a6;False;1;9;EF1;2;entradas;8,61111111111111
639568a00dedcfcbae15a8a7;False;2;9;EV1;2;entradas;9,722222222222221
639568a10dedcfcbae15a8a8;False;2;9;EV2;2;entradas;9,277777777777777
639568a10dedcfcbae15a8a9;False;3;9;Média;2;entradas;9,203703703703702
639568a20dedcfcbae15a8ae;False;1;10;EF1;2;entradas;1,7708333333333335
639568a20dedcfcbae15a8af;False;2;10;EV1;2;entradas;3,333333333333333
639568a20dedcfcbae15a8b0;False;2;10;EV2;2;entradas;2,5
639568a20dedcfcbae15a8b1;False;3;10;Média;2;entradas;2,534722222222222
639568a40dedcfcbae15a8b6;False;1;11;EF1;2;entradas;5,481481481481481
639568a40dedcfcbae15a8b7;False;2;11;EV1;2;entradas;6,875
639568a40dedcfcbae15a8b8;False;2;11;EV2;2;entradas;6,527777777777778
639568a40dedcfcbae15a8b9;False;3;11;Média;2;entradas;6,294753086419753
639568a60dedcfcbae15a8be;False;1;12;EF1;2;entradas;8,018518518518519
639568a70dedcfcbae15a8bf;False;2;12;EV1;2;entradas;9,756944444444445
639568a70dedcfcbae15a8c0;False;2;12;EV2;2;entradas;8,310185185185187
639568a70dedcfcbae15a8c1;False;3;12;Média;2;entradas;8,695216049382717
639568a90dedcfcbae15a8c6;False;1;13;EF1;2;entradas;7,354271885521885
639568a90dedcfcbae15a8c7;False;2;13;EV1;2;entradas;10
639568a90dedcfcbae15a8c8;False;2;13;EV2;2;entradas;10
639568a90dedcfcbae15a8c9;False;3;13;Média;2;entradas;9,118090628507295
639568ab0dedcfcbae15a8ce;False;1;14;EF1;2;entradas;8,916666666666668
639568ab0dedcfcbae15a8cf;False;2;14;EV1;2;entradas;9,722222222222221
639568ab0dedcfcbae15a8d0;False;2;14;EV2;2;entradas;9,074074074074076
639568ab0dedcfcbae15a8d1;False;3;14;Média;2;entradas;9,237654320987655
