_id,id_elemento,id_estudante,id_questao,id_questionario,tempo_resposta
63092cbe1cadee1d899ebb97,null,3,31,4,71
63092cbe1cadee1d899ebb98,null,3,32,4,8
63092cbe1cadee1d899ebb99,null,3,33,4,0
63092cbe1cadee1d899ebb9a,null,3,34,4,0
63092cbe1cadee1d899ebb9b,null,3,35,4,0
63092cbe1cadee1d899ebb9c,null,3,36,4,0
63092cc01cadee1d899ebba7,null,5,31,4,63
63092cc01cadee1d899ebba8,null,5,32,4,236
63092cc01cadee1d899ebba9,null,5,33,4,128
63092cc01cadee1d899ebbaa,null,5,34,4,169
63092cc01cadee1d899ebbab,null,5,35,4,43
63092cc01cadee1d899ebbac,null,5,36,4,131
63092cc21cadee1d899ebbb7,null,4,31,4,46
63092cc21cadee1d899ebbb8,null,4,32,4,448
63092cc21cadee1d899ebbb9,null,4,33,4,89
63092cc21cadee1d899ebbba,null,4,34,4,120
63092cc21cadee1d899ebbbb,null,4,35,4,84
63092cc21cadee1d899ebbbc,null,4,36,4,80
63092cc31cadee1d899ebbc7,null,6,31,4,1
63092cc31cadee1d899ebbc8,null,6,32,4,2
63092cc31cadee1d899ebbc9,null,6,33,4,2
63092cc31cadee1d899ebbca,null,6,34,4,1
63092cc31cadee1d899ebbcb,null,6,35,4,0
63092cc31cadee1d899ebbcc,null,6,36,4,0
63092cc51cadee1d899ebbd7,null,7,31,4,51
63092cc51cadee1d899ebbd8,null,7,32,4,499
63092cc51cadee1d899ebbd9,null,7,33,4,201
63092cc51cadee1d899ebbda,null,7,34,4,139
63092cc51cadee1d899ebbdb,null,7,35,4,42
63092cc51cadee1d899ebbdc,null,7,36,4,39
63092cc71cadee1d899ebbe7,null,9,31,4,77
63092cc71cadee1d899ebbe8,null,9,32,4,361
63092cc71cadee1d899ebbe9,null,9,33,4,78
63092cc71cadee1d899ebbea,null,9,34,4,312
63092cc71cadee1d899ebbeb,null,9,35,4,442
63092cc71cadee1d899ebbec,null,9,36,4,368
63092cc81cadee1d899ebbf7,null,10,31,4,0
63092cc81cadee1d899ebbf8,null,10,32,4,0
